rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_area,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,is_target_win,set,match_id,winner,loser,rally_id
1,1.0,0:07:39,11496.0,1,0,0,1,short service,0.0,1,7,1.0,7,-0.12804878048780488,-0.4390625000000001,,,8,181.0,632.06,8,148.5,308.55,1,1,1,0,1,0
1,2.0,00:07:43,11582.0,1,0,1,3,clear,0.0,1,7,2.0,10,1.007317073170732,1.8461979166666669,out,0.0,8,151.4,354.94,8,175.4,656.91,1,1,1,0,1,0
2,1.0,0:07:55,11881.0,2,0,0,1,short service,0.0,1,7,2.0,8,0.6243902439024389,-0.5574479166666665,,,8,165.3,627.18,8,231.9,309.37,1,1,1,0,1,1
2,2.0,0:07:56,11900.0,2,0,1,2,push/rush,0.0,1,8,2.0,8,-0.6439024390243903,1.489947916666667,,,8,197.5,353.23,8,175.4,653.84,1,1,1,0,1,1
2,3.0,0:07:56,11921.0,2,0,0,2,smash,0.0,0,8,1.0,8,-0.25365853658536597,-1.0660416666666668,,,8,136.3,733.96,8,167.2,274.22,1,1,1,0,1,1
2,4.0,0:07:57,11934.0,2,0,1,2,defensive shot,0.0,1,8,2.0,7,-0.6670731707317074,0.3051041666666669,,,8,150.9,247.97,8,149.4,720.03,1,1,1,0,1,1
2,5.0,0:07:58,11952.0,2,0,0,2,push/rush,0.0,0,7,1.0,8,0.07682926829268306,-1.0155208333333334,,,8,136.4,626.93,8,154.9,269.41,1,1,1,0,1,1
2,6.0,0:07:58,11965.0,2,0,1,3,drive,0.0,0,8,1.0,10,2.026829268292683,1.8494791666666668,not pass over the net,0.0,8,178.2,292.89,8,158.9,649.08,1,1,1,0,1,1
3,1.0,0:08:11,12298.0,2,1,0,1,short service,0.0,1,7,1.0,8,-0.22682926829268285,-0.8366666666666666,,,8,180.5,636.78,8,144.8,303.98,0,1,1,0,1,2
3,2.0,0:08:12,12313.0,2,1,1,2,net shot,0.0,1,8,2.0,7,-0.6780487804878048,0.6114583333333332,,,8,135.4,352.63,8,161.8,639.76,0,1,1,0,1,2
3,3.0,0:08:13,12331.0,2,1,0,2,lob,0.0,0,7,1.0,3,-0.9121951219512194,-1.4791666666666667,,,7,111.4,577.62,8,151.6,317.58,0,1,1,0,1,2
3,4.0,0:08:14,12362.0,2,1,1,2,smash,0.0,0,3,2.0,8,0.45609756097560983,1.0383333333333333,,,9,124.9,198.49,8,161.6,680.96,0,1,1,0,1,2
3,5.0,0:08:14,12372.0,2,1,0,2,defensive shot,0.0,1,8,2.0,7,0.8817073170731708,-0.46781249999999996,,,8,167.0,691.34,9,128.3,178.16,0,1,1,0,1,2
3,6.0,0:08:16,12400.0,2,1,1,2,lob,0.0,1,7,1.0,8,-0.7170731707317073,1.4967708333333334,,,8,225.1,338.26,8,196.4,676.77,0,1,1,0,1,2
3,7.0,0:08:17,12429.0,2,1,0,2,smash,0.0,0,8,2.0,8,-0.8365853658536585,-0.9950520833333334,,,9,150.1,774.67,8,171.5,278.94,0,1,1,0,1,2
3,8.0,0:08:17,12446.0,2,1,1,2,defensive shot,0.0,0,8,2.0,7,-0.8170731707317073,0.3138541666666666,,,8,129.5,294.7,8,151.7,715.79,0,1,1,0,1,2
3,9.0,0:08:18,12465.0,2,1,0,2,net shot,0.0,0,7,2.0,2,0.9560975609756098,-0.42380208333333336,,,8,110.4,648.67,8,150.1,283.37,0,1,1,0,1,2
3,10.0,0:08:19,12492.0,2,1,1,2,net shot,0.0,1,2,2.0,1,0.9451219512195121,0.19802083333333323,,,7,227.0,393.7,8,185.4,649.3,0,1,1,0,1,2
