id,video,tournament,round,year,month,day,set,duration,winner,loser,downcourt,url
17,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,Malaysia Masters 2020,Quarter-finals,2020,1,10,3,65,NG Ka Long Angus,Jonatan CHRISTIE,1,https://www.youtube.com/watch?v=G9r400zkkz8
18,Viktor_AXELSEN _SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,All England Open 2020,Quarter-finals,2020,3,13,2,40,Viktor AXELSEN,SHI Yuqi,1,https://www.youtube.com/watch?v=8lHAsyRhYYQ
19,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,Malaysia Masters 2020,Quarter-finals,2020,1,10,3,68,Viktor AXELSEN,CHEN Long,1,https://www.youtube.com/watch?v=YmW83aQFADg
20,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,Malaysia Masters 2020,Semi-finals,2020,1,11,2,44,Viktor AXELSEN,NG Ka Long Angus,0,https://www.youtube.com/watch?v=4e3JJ4rvT3Q
21,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,44,An Se Young,Ratchanok INTANON,1,https://www.youtube.com/watch?v=gloiZ_gTJaE
22,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,45,Mia BLICHFELDT,Busanan ONGBAMRUNGPHAN,1,https://www.youtube.com/watch?v=8u_UHCnYSkk
23,Ng_Ka_Long_Angus_Lee_Cheuk_Yiu_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,44,NG Ka Long Angus,LEE Cheuk Yiu,1,https://www.youtube.com/watch?v=rSK9Qx8LapE
24,Anthony_Sinisuka_Ginting_Rasmus_Gemke_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,3,66,Anthony Sinisuka GINTING,Rasmus GEMKE,0,https://www.youtube.com/watch?v=NlDrJyQUTSI
25,Carolina_Marin_Supanida_Katethong_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,44,Carolina MARIN,Supanida KATETHONG,0,https://www.youtube.com/watch?v=FZPrpoGdyHI
26,Viktor_Axelsen_Jonatan_Christie_YONEX_Thailand_Open_2021_QuarterFinals,YONEX THAILAND OPEN 2021,Quarter-finals,2021,1,15,2,40,Viktor AXELSEN,Jonatan CHRISTIE,1,https://www.youtube.com/watch?v=RRI_k2KZgOM
27,Viktor_Axelsen_Anthony_Sinisuka_Ginting_YONEX_Thailand_Open_2021_SemiFinals,YONEX THAILAND OPEN 2021,Semi-finals,2021,1,16,3,63,Viktor AXELSEN,Anthony Sinisuka GINTING,1,https://www.youtube.com/watch?v=HTBf9wFL0mk
28,Viktor_Axelsen_Ng_Ka_Long_Angus_YONEX_Thailand_Open_2021_Finals,YONEX THAILAND OPEN 2021,Finals,2021,1,17,2,44,Viktor AXELSEN,NG Ka Long Angus,1,https://www.youtube.com/watch?v=IuXmsimDOW8
29,An_Se_Young_Pornpawee_Chochuwong_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,2,44,An Se Young,Pornpawee CHOCHUWONG,0,https://www.youtube.com/watch?v=TXT-qlniM90
30,Anders_Antonsen_Sameer_Verma_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,3,81,Anders ANTONSEN,Sameer VERMA,1,https://www.youtube.com/watch?v=YP8YlZkrQq8
31,Carolina_Marin_Neslihan_Yigit_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,2,34,Carolina MARIN,Neslihan YIGIT,0,https://www.youtube.com/watch?v=gJ_KHu0EC6I
32,Hans-Kristian_Solberg_Vittinghus_Lee_Cheuk_Yu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,3,77,Hans-Kristian Solberg VITTINGHUS,LEE Cheuk Yiu,1,https://www.youtube.com/watch?v=ROAnTfC_8zA
33,Viktor_Axelsen_Liew_Daren_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,2,41,Viktor AXELSEN,LIEW Daren,1,https://www.youtube.com/watch?v=OzRtd3D0hEo
34,Ratchanok_Intanon_Pusarla_V._Sindhu_TOYOTA_THAILAND_OPEN_2021_QuarterFinals,TOYOTA THAILAND OPEN 2021,Quarter-finals,2021,1,22,2,38,Ratchanok INTANON,PUSARLA V. Sindhu,0,https://www.youtube.com/watch?v=o51ingUOU20
35,Carolina_Marin_An_Se_Young_TOYOTA_THAILAND_OPEN_2021_SemiFinals,TOYOTA THAILAND OPEN 2021,Semi-finals,2021,1,23,2,51,Carolina MARIN,An Se Young,0,https://www.youtube.com/watch?v=XmJ-OdVFQtk
36,Hans-Kristian_Solberg_Vittinghus_Anders_Antonsen_TOYOTA_THAILAND_OPEN_2021_SemiFinals,TOYOTA THAILAND OPEN 2021,Semi-finals,2021,1,23,2,45,Hans-Kristian Solberg VITTINGHUS,Anders ANTONSEN,1,https://www.youtube.com/watch?v=D27aAZvuRTw
37,Viktor_Axelsen_Hans-Kristian_Solberg_VIittinghus_TOYOTA_THAILAND_OPEN_2021_Finals,TOYOTA THAILAND OPEN 2021,Finals,2021,1,24,2,40,Viktor AXELSEN,Hans-Kristian Solberg VITTINGHUS,0,https://www.youtube.com/watch?v=4rQUHv9oGpI
38,Carolina_Marin_An_Se_Young_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,55,An Se Young,Carolina MARIN,1,https://www.youtube.com/watch?v=OH6dnTXhZy4
39,Anthony_Sinisuka_Ginting_Lee_Zii_Jia_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,50,Anthony Sinisuka GINTING,LEE Zii Jia,1,https://www.youtube.com/watch?v=XYY6YXv6Nss
40,Evgeniya_Kosetskaya_Michelle_Li_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,2,34,Evgeniya KOSETSKAYA,Michelle LI,1,https://www.youtube.com/watch?v=IDSr0z5f52k
41,Ng_Ka_Long_Angus_Kidambi_Srikanth_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,3,65,NG Ka Long Angus,KIDAMBI Srikanth,1,https://www.youtube.com/watch?v=yr2JQTdzNjY
42,Pusarla_V._Sindhu_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_QuarterFinals,HSBC BWF WORLD TOUR FINALS 2020,Quarter-finals,2021,1,29,2,42,PUSARLA V. Sindhu,Pornpawee CHOCHUWONG,0,https://www.youtube.com/watch?v=Mawo3l3Hb9E
43,Carolina_Marin_Pornpawee_Chochuwong_HSBC_BWF_WORLD_TOUR_FINALS_2020_SemiFinals,HSBC BWF WORLD TOUR FINALS 2020,Semi-finals,2021,1,30,2,40,Carolina MARIN,Pornpawee CHOCHUWONG,0,https://www.youtube.com/watch?v=vfzkc3lFTdM
44,Anders_Antonsen_Viktor_Axelsen_HSBC_BWF_WORLD_TOUR_FINALS_2020_Finals,HSBC BWF WORLD TOUR FINALS 2020,Finals,2021,1,31,3,60,Anders ANTONSEN,Viktor AXELSEN,0,https://www.youtube.com/watch?v=j7_cjmJDYNU
45,Lakshya_SEN_LOH_Kean_Yew_YONEX_SUNRISE_India_Open_2022_ Finals,YONEX-SUNRISE India Open 2022,Finals,2022,1,16,2,54,Lakshya SEN,LOH Kean Yew,1,0
46,Kunlavut_VITIDSARN_LEE_Zii_Jia_YONEX_GAINWARD_German_Open_2022_SemiFinals,YONEX GAINWARD German Open 2022,Semi-finals,2022,3,12,2,43,Kunlavut VITIDSARN,LEE Zii Jia,1,0
47,Akane_YAMAGUCHI_AN_Seyoung_YONEX_All_England_Open_Badminton_Championships_2022_Finals,YONEX All England Open Badminton Championships 2022,Finals,2022,3,20,2,44,Akane YAMAGUCHI,An Se Young,1,0
48,Viktor_AXELSEN_Lakshya_SEN_YONEX_All_England_Open_2022_Finals,YONEX All England Open Badminton Championships 2022,Finals,2022,3,20,2,53,Viktor AXELSEN,Lakshya SEN,0,0
49,AN_Seyoung_PUSARLA_V._Sindhu_Korea_Open_Badminton_Championships_2022_Semi_Final,Korea Open Badminton Championships 2022,Semi-finals,2022,4,9,2,48,An Se Young,PUSARLA V. Sindhu,1,0
50,He_Bing_Jiao_Chen_Yu_Fei_GWANGJU_YONEX_Korea_Masters_2022_Final,GWANGJU YONEX Korea Masters 2022,Finals,2022,4,17,3,63,HE Bingjiao,CHEN Yufei,0,0
51,LEE_Zii_Jia_Kento_MOMOTA_Tota_Energies_BWF_Thomas_and_Uber_Cup_Finals_2022_Group D_Trim,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Group-Stage,2022,5,11,2,46,LEE Zii Jia,Kento MOMOTA,0,0
52,AN_Se_Young_Akane_YAMAGUCHI_TotalEnergies_BWF_Thomas_and_Uber_Cup_Finals_2022_Semifinals,TotalEnergies BWF Thomas and Uber Cup Finals 2022,Semi-finals,2022,5,13,3,63,An Se Young,Akane YAMAGUCHI,0,0
53,Viktor_AXELSEN_Anthony_Sinisuka_GINTING_DAIHATSU_INDONESIA_MASTERS_2022_Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022,6,11,2,48,Viktor AXELSEN,Anthony Sinisuka GINTING,0,0
54,CHEN_Yu_Fei_HE_Bing_Jiao_DAIHATSU_Indonesia_Masters_2022_Semifinals,DAIHATSU INDONESIA MASTERS 2022,Semi-finals,2022,6,11,2,51,CHEN Yufei,HE Bingjiao,0,0
55,Wang_Zhi_Yi_He_Bing_Jiao_Indonesia_Open_2022_Semi_finals,INDONESIA OPEN 2022,Semi-finals,2022,6,18,2,42,WANG Zhi Yi,HE Bingjiao,0,0
56,Viktor_AXELSEN_LEE_Zii_Jia_EAST_VENTURES_Indonesia_Open_2022_Semifinals,INDONESIA OPEN 2022,Semi-finals,2022,6,18,3,70,Viktor AXELSEN,LEE Zii Jia,0,0
57,Kento_MOMOTA_Kunlavut_VITIDSARN_Malaysia_Open_2022_ Semi_finals,Malaysia Open 2022,Semi-finals,2022,7,2,2,42,Kento MOMOTA,Kunlavut VITIDSARN,1,0
58,Viktor_AXELSEN_Jonatan_CHRISTIE_Malaysia_Open_2022_SemiFinals,Malaysia Open 2022,Semi-finals,2022,7,2,3,71,Viktor AXELSEN,Jonatan CHRISTIE,0,0
59,Viktor_AXELSEN_Kento_MOMOTA_PETRONAS_Malaysia_Open_2022_Finals,Malaysia Open 2022,Finals,2022,7,3,2,34,Viktor AXELSEN,Kento MOMOTA,0,0
60,Ratchanok_INTANON_CHEN_Yu_Fei_PETRONAS_Malaysia_Open_2022_Finals,Malaysia Open 2022,Finals,2022,7,3,3,65,Ratchanok INTANON,CHEN Yufei,0,0
61,Ratchanok_INTANON_WANG_Zhi_Yi_Malaysia_Open_2022_SemiFinals,Malaysia Open 2022,Semi-finals,2022,7,2,2,38,Ratchanok INTANON,WANG Zhi Yi,0,0
62,Chico_Aura_DWI_WARDOYO_LU_Guang_Zu_PERODUA_Malaysia_Masters_2022_Semifinals,Malaysia Open 2022,Semi-finals,2022,7,9,3,57,Chico Aura DWI WARDOYO,LU Guang Zu,1,0
63,Chico_Aura_DWI_WARDOYO_NG_Ka_Long_Angus_Malaysia_Masters_2022_Finals,Malaysia Masters 2022,Finals,2022,7,10,2,45,Chico Aura DWI WARDOYO,NG Ka Long Angus,1,0
64,An_Se_Young_Chen_Yu_Fei_PERODUA_Malaysia_Masters_2022_Finals,Malaysia Masters 2022,Finals,2022,7,10,2,38,An Se Young,CHEN Yufei,0,0
65,AN_Se_Young_Gregoria_Mariska_TUNJUNG_Malaysia_Masters_2022_SemiFinals,Malaysia Masters 2022,Semi-finals,2022,7,9,3,57,An Se Young,Gregoria Mariska TUNJUNG,1,0
66,EAST_VENTURES_Indonesia_Open_2022_Zhao_Jun_Peng_PRANNOY_H._S._Semifinals,INDONESIA OPEN 2022,Semi-finals,2022,6,18,2,40,ZHAO Jun Peng,PRANNOY H. S.,1,0
67,Kunlavut_VITIDSARN_ZHAO_Jun_ Peng_BWF_World_Championships_2022_SemiFinals,BWF World Championships 2022,Semi-finals,2022,8,27,2,43,Kunlavut VITIDSARN,ZHAO Jun Peng,0,0
68,Akane_YAMAGUCHI_AN_Se_Young_BWF_World_Championships_2022_Semi_finals,BWF World Championships 2022,Semi-finals,2022,8,27,2,43,Akane YAMAGUCHI,An Se Young,0,0
69,Viktor_Axelsen_Kunlavut_Vitidsarn_BWF_World_Championships_2022_Finals,BWF World Championships 2022,Finals,2022,8,28,2,50,Viktor AXELSEN,Kunlavut VITIDSARN,0,0
70,Akane_YAMAGUCHI_CHEN_Yu_Fei_BWF_World_Championships_2022_Finals,BWF World Championships 2022,Finals,2022,8,28,3,68,Akane YAMAGUCHI,CHEN Yufei,1,0
71,Kenta_NISHIMOTO_Anders_ANTONSEN_Japan_Open_2022_SemiFinals,Japan Open 2022,Semi-finals,2022,9,3,2,69,Kenta NISHIMOTO,Anders ANTONSEN,1,0
72,Akane_YAMAGUCHI_AN_Se_Young_DAIHATSU_YONEX_Japan_Open_2022_Finals,Japan Open 2022,Finals,2022,9,4,2,38,Akane YAMAGUCHI,An Se Young,1,0
73,Akane_YAMAGUCHI_CHEN_Yu_Fei_England_Open_2022_Semi_finals,YONEX All England Open Badminton Championships 2022,Semi-finals,2022,3,19,2,41,Akane YAMAGUCHI,CHEN Yufei,0,0
74,Busanan_ONGBAMRUNGPHAN_Supanida_KATETHONG_India_Open_2022_Finals,YONEX-SUNRISE India Open 2022,Finals,2022,1,16,3,76,Busanan ONGBAMRUNGPHAN,Supanida KATETHONG,1,0
75,Lakshya_SEN_LEE_Zii_Jia_All_England_Open_2022_SemiFinals,YONEX All England Open Badminton Championships 2022,Semi-finals,2022,3,19,3,76,Lakshya SEN,LEE Zii Jia,0,0
76,Jonatan_CHRISTIE_KIDAMBI_Srikanth_Korea_Open_Badminton_Championships_2022_SemiFinals,Korea Open Badminton Championships 2022,Semi-finals,2022,4,9,2,49,Jonatan CHRISTIE,KIDAMBI Srikanth,0,0
77,Supanida_KATETHONG_PUSARLA_V._Sindhu_India_Open_2022_SemiFinals,YONEX-SUNRISE India Open 2022,Semi-finals,2022,1,15,3,59,Supanida KATETHONG,PUSARLA V. Sindhu,1,0
78,Busanan_ONGBAMRUNGPHAN_Aakarshi_KASHYAP_YONEX_SUNRISE_India_Open_2022_Semifinals,YONEX-SUNRISE India Open 2022,Semi-finals,2022,1,15,2,52,Busanan ONGBAMRUNGPHAN,Aakarshi KASHYAP,0,0
79,Lee_Zii_Jia_Li_Shi_Feng_GR_TOYOTA_GAZOO_RACING_Thailand_Open_2022_Finals,Thailand Open 2022,Finals,2022,5,22,3,70,LEE Zii Jia,LI Shi Feng,0,0
80,LI_Shi_Feng_Kodai_NARAOKAGR_Thailand_Open_2022_Semi_finals,Thailand Open 2022,Semi-finals,2022,5,21,3,93,LI Shi Feng,Kodai NARAOKA,1,0
81,SHI_Yu Qi_LEE_Zii_Jia_Denmark_Open_2022_Final,Denmark Open 2022,Finals,2022,10,23,3,67,SHI Yuqi,LEE Zii Jia,0,0
82,LEE_Zii_Jia_LIEW_Daren_Thailand_Open_2022_SemiFinals_Trim,Thailand Open 2022,Semi-finals,2022,5,22,3,51,LEE Zii Jia,LIEW Daren,0,0
83,Lee_Zii_Jia_Loh_Kean_Yew_Denmark_Open_2022_Semifinals,Denmark Open 2022,Semi-finals,2022,10,22,2,40,LEE Zii Jia,LOH Kean Yew,1,0
84,HE_Bing_Jiao_CHEN_Yu_Fei_Denmark_Open_2022_Final,Denmark Open 2022,Finals,2022,10,23,3,67,HE Bingjiao,CHEN Yufei,1,0
85,CHEN_Yu_Fei_Ratchanok_INTANON_Denmark_Open_2022_SemiFinals,Denmark Open 2022,Semi-finals,2022,10,22,3,59,CHEN Yufei,Ratchanok INTANON,0,0
86,HE_Bing_Jiao_Carolina_MARIN_French_Open_2022_Final,French Open 2022,Finals,2022,10,30,3,76,HE Bingjiao,Carolina MARIN,0,0
87,Viktor_AXELSEN_Rasmus_GEMKE_French_Open_2022 _Finals,French Open 2022,Finals,2022,10,30,2,43,Viktor AXELSEN,Rasmus GEMKE,0,0
88,Viktor_AXELSEN_Kodai_NARAOKA_YONEX_French_Open_2022_Semifinals,French Open 2022,Semi-finals,2022,10,29,2,45,Viktor AXELSEN,Kodai NARAOKA,1,0
89,SHI_Yu_Qi_Kodai_NARAOKA_Denmark_Open_2022_SemiFinals,Denmark Open 2022,Semi-finals,2022,10,22,3,77,SHI Yuqi,Kodai NARAOKA,1,0
90,AN_Se_Young_Pornpawee_CHOCHUWONG_Korea_Open_Badminton_Championships_2022_Finals,Korea Open Badminton Championships 2022,Finals,2022,4,10,2,52,An Se Young,Pornpawee CHOCHUWONG,1,0
91,Carolina_MARIN_Akane_YAMAGUCHI_French_Open_2022_SemiFinals,French Open 2022,Semi-finals,2022,10,29,2,47,Carolina MARIN,Akane YAMAGUCHI,1,0
92,Viktor_AXELSEN_ZHAO_Jun_Peng_Indonesia_Open_2022_Final,INDONESIA OPEN 2022,Finals,2022,6,19,2,75,Viktor AXELSEN,ZHAO Jun Peng,0,0
93,Rasmus_GEMKE_LEE_Cheuk_Yiu_French_Open_2022_SemiFinals,French Open 2022,Semi-finals,2022,10,29,2,46,Rasmus GEMKE,LEE Cheuk Yiu,0,0
94,CHEN_Yu_Fei_PUSARLA_V._Sindhu_Thailand_Open_2022_SemiFinals,Thailand Open 2022,Semi-finals,2022,5,21,2,43,CHEN Yufei,PUSARLA V. Sindhu,1,0
